,text,playlist_owner,music_item,entity_name,artist,playlist
0,Add another song to the Cita RomÃ¡ntica playlist.,,song,,,Cita RomÃ¡ntica
1,add clem burke in my playlist Pre-Party R&B Jams,my,,,clem burke,Pre-Party R&B Jams
2,Add Live from Aragon Ballroom to Trapeo,,,Live from Aragon Ballroom,,Trapeo
3,add Unite and Win to my  night out,my,,Unite and Win,,night out
4,Add track to my  Digster Future Hits,my,track,,,Digster Future Hits
5,add the piano bar to my  Cindy Wilson,my,,,Cindy Wilson,the piano bar
6,Add Spanish Harlem Incident to cleaning the house,,,Spanish Harlem Incident,,cleaning the house
7,add The Greyest of Blue Skies in Indie EspaÃ±ol  my playlist,my,,The Greyest of Blue Skies,,Indie EspaÃ±ol
8,Add the name kids in the street to the plylist New Indie Mix,,,kids in the street,,New Indie Mix
9,add album  radar latino,,album,,,radar latino
10,Add Tranquility to the Latin Pop Rising playlist.,,,Tranquility,,Latin Pop Rising
11,Add d flame to the Dcode2016 playlist.,,,,d flame,Dcode2016
12,Add album to my  fairy tales,my,album,,,fairy tales
13,I need another artist in the New Indie Mix playlist.,,artist,,,New Indie Mix
14,Add to playlist i love my neo soul the name national treasure book of secrets,,,national treasure book of secrets,,i love my neo soul
15,Add the fire and the wind to my  Digster Future Hits playlist.,my,,the fire and the wind,,Digster Future Hits
16,add Caleigh Peters to my  women of country list,my,,,Caleigh Peters,women of country
17,add children of telepathic experiences to the playlist named baladas romÃ¡nticas,,,children of telepathic experiences,,baladas romÃ¡nticas
18,add 9th Inning to my  bossa nova dinner playlist,my,,9th Inning,,bossa nova dinner
19,I need another tune in my  legendary guitar solos playlist.,my,tune,,,legendary guitar solos
20,Add Slimm Cutta Calhoun to my  this is prince playlist.,my,,,Slimm Cutta Calhoun,this is prince
21,Add Always to dena's  Baroque 50 Spotify Picks playlist.,dena's,,Always,,Baroque 50 Spotify Picks
22,add song to Sleepytime,,song,,,Sleepytime
23,Add an album to my list La Mejor MÃºsica Dance 2017,my,album,,,La Mejor MÃºsica Dance 2017
24,"add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist",,,"Hey, Johnnie Cope, Are Ye Waking Yet",,year in metal 2016
25,Add the album to the psychedelic rock playlist,,album,,,psychedelic rock
26,Can you add Esquivando charcos to my playlist entitled the piano bar,my,,Esquivando charcos,,the piano bar
27,Add wiktor coj to the Sleep playlist.,,,,wiktor coj,Sleep
28,Incorporate time warp into my  fairy tales playlist.,my,,time warp,,fairy tales
29,add this MakSim  tune to Trad Folk,,tune,,MakSim,Trad Folk
30,add tune to my playlist eletro br,my,tune,,,eletro br
31,Add this tune to my  Dinnertime Acoustics list,my,tune,,,Dinnertime Acoustics
32,add monsters  this is prince playlist,,,monsters,,this is prince
33,add a tune in Chill Vibes,,tune,,,Chill Vibes
34,Can you add a track to my  Spain Top 50 playlist,my,track,,,Spain Top 50
35,put this album by Mike Tramp on Deathcore,,album,,Mike Tramp,Deathcore
36,Add ross the boss to laurie's  listas de Ã©xitos list,laurie's,,,ross the boss,listas de Ã©xitos
37,Add some Beatmaster V to the This Is Nicky Jam playlist.,,,,Beatmaster V,This Is Nicky Jam
38,add paulinho da viola to my  Radio Rock song list,my,,,paulinho da viola,Radio Rock
39,add Eef Barzelay to my  Country Coffeehouse,my,,,Eef Barzelay,Country Coffeehouse
40,Add this artist to queen playlist,,artist,,,queen
41,add Olga Souza to virginia's  femme fatale playlist,virginia's,,,Olga Souza,femme fatale
42,Add an album by m g sreekumar to my  laidback acoustic playlist.,my,album,,m g sreekumar,laidback acoustic
43,Add this album to my  spotify orchestra cello playlist,my,album,,,spotify orchestra cello
44,I want to put goldy mcjohn on my  Rock Party playlist,my,,,goldy mcjohn,Rock Party
45,Add this song to noreen's  fresh finds six strings,noreen's,song,,,fresh finds six strings
46,A Shawnna to the Warm Hearts Feel Good playlist.,,,,Shawnna,Warm Hearts Feel Good
47,Add this tune to Rock Save The Queen,,tune,,,Rock Save The Queen
48,Add Firehouse to my  acoustic soul list.,my,,Firehouse,,acoustic soul
49,add this david cole  track to my  Totally Stress Free,my,track,,david cole,Totally Stress Free
50,Add Progress to my  clÃ¡sica para todos playlist.,my,,Progress,,clÃ¡sica para todos
51,Add the artist  tony thompson to my  canta en la ducha playlist,my,artist,,tony thompson,canta en la ducha
52,Add the artist to my  This Is Mozart playlist.,my,artist,,,This Is Mozart
53,Add this track to downtempo beats,,track,,,downtempo beats
54,Add Quicksand to my  valentine's day love playlist,my,,Quicksand,,valentine's day love
55,Add feel the passion to my  this is kudai playlist.,my,,feel the passion,,this is kudai
56,add this song to my  us latin top 50 playlist,my,song,,,us latin top 50
57,Put this artist in Pachangueo Total,,artist,,,Pachangueo Total
58,add vl mike to my  Dcode2016 playlist,my,,,vl mike,Dcode2016
59,add how to my  week end playlist,my,,how,,week end
60,Add Norma Jean to my  pure rock & roll playlist.,my,,,Norma Jean,pure rock & roll
61,Add Kirk Hammett to Calm Down,,,,Kirk Hammett,Calm Down
62,Add On with the Show to my  Beast Mode playlist,my,,On with the Show,,Beast Mode
63,add kjetil vidar haraldstad to listas de Ã©xitos,,,,kjetil vidar haraldstad,listas de Ã©xitos
64,can you add xanadu to Latin Alternative Music,,,xanadu,,Latin Alternative Music
65,add this track to krystal's  piano 100,krystal's,track,,,piano 100
66,Can you put this track onto the playlist the selektor ?,,track,,,the selektor
67,my  jazz for loving couples needs more push the button,my,,push the button,,jazz for loving couples
68,add the album  the martin garrix show to my playlist,my,album,,,the martin garrix show
69,add gina schock to workout twerkout,,,,gina schock,workout twerkout
70,Add this tune to cristina's  endorphin rush playlist,cristina's,tune,,,endorphin rush
71,add this tune to my  It's a Southern Thing playlist,my,tune,,,It's a Southern Thing
72,add Ik Tara to laundry playlst,,,Ik Tara,,laundry
73,Add this tune to This Is Nicky Jam,,tune,,,This Is Nicky Jam
74,Can you add something by the artist  Paul Cargnello to my  Chill Tracks playlist,my,artist,,Paul Cargnello,Chill Tracks
75,add Runaljod gap var Ginnunga to ashlee's playlist titled forever country,ashlee's,,Runaljod gap var Ginnunga,,forever country
76,Put The Orange and the Green on Los 40 Radio Ãxitos,,,The Orange and the Green,,Los 40 Radio Ãxitos
77,Add an album by Liza Oumarova to the Steampunk playlist.,,album,,Liza Oumarova,Steampunk
78,Please add a song to ines's playlist called Metal Party,ines's,song,,,Metal Party
79,For playlist todo latino add Absolutely Sweet Marie,,,Absolutely Sweet Marie,,todo latino
80,add gn to night vibes,,,gn,,night vibes
81,Can you add Blood On The Face to the playlist called Heartland Country,,,Blood On The Face,,Heartland Country
82,The spring classical playlist needs Partners in Crime added to it.,,,Partners in Crime,,spring classical
83,add the artist  Tomohisa Yamashita to the conexiones playlist,,artist,,Tomohisa Yamashita,conexiones
84,Add Written in Red to my  cleaning the house playlist.,my,,Written in Red,,cleaning the house
85,Add cordell mosson to my  i love my neo soul list,my,,,cordell mosson,i love my neo soul
86,add album to Feeling Blue,,album,,,Feeling Blue
87,I want to put another album into the a peaceful rush hour playlist.,,album,,,a peaceful rush hour
88,Open my  acoustic concentration playlist and play an entire album,my,album,,,acoustic concentration
89,add sonntag to my  Assassin's Creed,my,,sonntag,,Assassin's Creed
90,I want more francis healy in the Rockin' Vibes playlist.,,,,francis healy,Rockin' Vibes
91,add gareth gates to my  autumn playlist,my,,,gareth gates,autumn
92,add tune to sxsw fresh playlist,,tune,,,sxsw fresh
93,add track to todo latino,,track,,,todo latino
94,Add to my  verano list a song by andy lee,my,song,,andy lee,verano
95,Add song to my  Club Hits,my,song,,,Club Hits
96,add this tune to my playlist titled uncharted 4 nathan drake,my,tune,,,uncharted 4 nathan drake
97,Add 100% te ljubam to the Hit Remix playlist,,,100% te ljubam,,Hit Remix
98,Put this album on totally alternative,,album,,,totally alternative
99,put this album into becky's  infinite indie folk playlist,becky's,album,,,infinite indie folk
100,Add Yuna Ito to the hot rods & horror shows playlist.,,,,Yuna Ito,hot rods & horror shows
101,add the artist  Ruby to my  digging now list,my,artist,,Ruby,digging now
102,add this tune to my  It's a Southern Thing playlist,my,tune,,,It's a Southern Thing
103,Add the album to the top 100 country tracks on spotify playlist.,,album,,,top 100 country tracks on spotify
104,Add this track to the classical music for smart kids playlist,,track,,,classical music for smart kids
105,Add an album to corinne's  Beast Mode playlist.,corinne's,album,,,Beast Mode
106,Include the album by Arthur Rhames in Urban Poet,,album,,Arthur Rhames,Urban Poet
107,I need to add to the all things post starting with my favorites from the silence,my,,the silence,,all things post
108,add Nothing Fancy to Meditate to Sounds of Nature playlist,,,Nothing Fancy,,Meditate to Sounds of Nature
109,Add CJ Snare to my  indie mim playlist,my,,,CJ Snare,indie mim
110,Add Ernie Hawkins to the Dubstep playlist.,,,,Ernie Hawkins,Dubstep
111,Please put this song onto my  Urban Hits playlist.,my,song,,,Urban Hits
112,add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is,my,,The Spine Surfs Alone,,The Funny Thing About Football Is
113,Add Ajoy Chakrabarty to women of country playlist,,,,Ajoy Chakrabarty,women of country
114,add this song to brooklyn beat,,song,,,brooklyn beat
115,Can you add some disco to my playlist called Genuine R&B,my,,disco,,Genuine R&B
116,add Anthony Hamilton to my list Women of Hip Hop,my,,,Anthony Hamilton,Women of Hip Hop
117,Add As I Was Going to St Ives to the fantasÃ­a playlist.,,,As I Was Going to St Ives,,fantasÃ­a
118,put paula abdul on Musica EspaÃ±ola 2017,,,,paula abdul,Musica EspaÃ±ola 2017
119,Add the entity Por una cabeza to my playlist Forever Alone,my,,Por una cabeza,,Forever Alone
120,Add track to Afternoon Train Ride,,track,,,Afternoon Train Ride
121,Add silver apples to teh sin estrÃ©s playlist.,,,silver apples,,sin estrÃ©s
122,Please add this song to my  llegando a casa palylist,my,song,,,llegando a casa
123,Add the song to the martin garrix show playlist,,song,,,the martin garrix show
124,Add more David Wolfenberger to my  Duetos playlist.,my,,,David Wolfenberger,Duetos
125,I want to add Club Mix to the playlist with the title 50 ClÃ¡sicos,,,Club Mix,,50 ClÃ¡sicos
126,add Eric Bibb to Country Coffeehouse,,,,Eric Bibb,Country Coffeehouse
127,Add gregg bissonette to my  US Latin Top 50 playlist,my,,,gregg bissonette,US Latin Top 50
128,add track  70s smash hits to my,my,track,,,70s smash hits
129,add this album to my  Blues playlist,my,album,,,Blues
130,I want this song on the playlist called chill vibes,,song,,,chill vibes
131,Add this adam clayton  tune to sxsw fresh playlist,,tune,,adam clayton,sxsw fresh
132,add this teddy charles  album to this is pavarotti  my playlist,my,album,,teddy charles,this is pavarotti
133,Can you add confessions to my playlist called ClÃ¡sica,my,,confessions,,ClÃ¡sica
134,Please add tobymac 's song onto the indiespensables playlist.,,song,,tobymac,indiespensables
135,add an album to playlist Emily Dickinson,,album,,,Emily Dickinson
136,Add Buddy DeSylva to my  this is j balvin playlist,my,,,Buddy DeSylva,this is j balvin
137,ad Czarna dziewczyna to instrumental madness playlist,,,Czarna dziewczyna,,instrumental madness
138,I want to add this song to my  Infantil playlist,my,song,,,Infantil
139,add vera to my  80's Jam Session playlist,my,,vera,,80's Jam Session
140,add A Compilation of Warped Music II to workout twerkout playlist,,,A Compilation of Warped Music II,,workout twerkout
141,Add a track to my list Made in Puerto Rico,my,track,,,Made in Puerto Rico
142,add this track to my  epic wall of sound playlist,my,track,,,epic wall of sound
143,add Michael LePond to electronic bliss,,,,Michael LePond,electronic bliss
144,Add angela au to the playlist radar latino,,,,angela au,radar latino
145,add artist  abdel halim hafez to my  conexiones playlist,my,artist,,abdel halim hafez,conexiones
146,Add track to this is puccini,,track,,,this is puccini
147,I need to add a song to my  lo que suena new york playlist.,my,song,,,lo que suena new york
148,Add this artist to this is Rosana,,artist,,,this is Rosana
149,add Joelia Savitsjeva in 88 keys,,,,Joelia Savitsjeva,88 keys
150,add alain caron to my  travelling playlist,my,,,alain caron,travelling
151,Add the r l burnside  album to my  Nothing But A Party R&B playlist,my,album,,r l burnside,Nothing But A Party R&B
152,add Steve Jordan to inez's  tgif,inez's,,,Steve Jordan,tgif
153,Add to my playlist all funked up this track,my,track,,,all funked up
154,add satisfied to my  Rockin' Vibes playlist,my,,satisfied,,Rockin' Vibes
155,add this artist named Prince to the playlist all new all now,,artist,,Prince,all new all now
156,add billy strayhorn to my  highway 61 playlist,my,,,billy strayhorn,highway 61
157,Add ramble on to Halloween Teens,,,ramble on,,Halloween Teens
