,text,served_dish,spatial_relation,city,timeRange,country,restaurant_type,restaurant_name,sort,cuisine,party_size_description,facility,poi,state,party_size_number
0,book The Middle East  restaurant in IN for noon,,,,noon,,restaurant,The Middle East,,,,,,IN,
1,Book a table at T-Rex  distant from Halsey St .,,distant,,,,,T-Rex,,,,,Halsey St,,
2,I'd like to eat at a taverna that serves chili con carne for a party of 10 ,chili con carne,,,,,taverna,,,,,,,,10
3,I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd .,,,,Aug. the 3rd,Japan,,Rimsky-Korsakoffee House,,,,,,,four
4,"Please make a restaurant reservation for somewhere in Mondovi , Connecticut .",,,Mondovi,,,restaurant,,,,,,,Connecticut,
5,book a spot far from Ãland,,far,,,Ãland,,,,,,,,,
6,I'd like to eat at the best  restaurant in Coalton,,,Coalton,,,restaurant,,best,,,,,,
7,book a taverna that serves vichyssoise  within walking distance in OH,vichyssoise,within walking distance,,,,taverna,,,,,,,OH,
8,I want to book a popular  tyrolean  steakhouse in Madison Park  WA  in 1 hour nine minutes and one second,,,Madison Park,in 1 hour nine minutes and one second,,steakhouse,,popular,tyrolean,,,,WA,
9,Find a table for 8 somewhere in Bonaire  in 345 days,,,,in 345 days,Bonaire,,,,,,,,,8
10,Book a restaurant with parking facility for 3 .,,,,,,restaurant,,,,,parking,,,3
11,"please book a room in Spaghetti Warehouse for catalina, delores and brandie mendoza at 12 AM",,,,12 AM,,,Spaghetti Warehouse,,,"catalina, delores and brandie mendoza",,,,
12,"I need a table for 1 at a highly rated  restaurant  next autumn in Emmons , RI",,,Emmons,next autumn,,restaurant,,highly rated,,,,,RI,1
13,book a spot in 1 second that is neighboring  robin's hotel,,neighboring,,in 1 second,,,,,,,,robin's hotel,,
14,patty and I need a table booked at a highly rated  restaurant in Sandstone .,,,Sandstone,,,restaurant,,highly rated,,patty and I,,,,
15,Make a reservation for four at a pub in Sugarville .,,,Sugarville,,,pub,,,,,,,,four
16,book a table for a Macedonia  restaurant,,,,,Macedonia,restaurant,,,,,,,,
17,I'd like to go to a halal  restaurant  in twenty minutes  around the District Of Columbia and book seats for four,,around,,in twenty minutes,,restaurant,,,halal,,,,District Of Columbia,four
18,Book a table for 10 people at Dunbrody Country House Hotel in Strandburg .,,,Strandburg,,,,Dunbrody Country House Hotel,,,,,,,10
19,Book a table in a Haines Borough  restaurant for nine that is within walking distance .,,within walking distance,,,,restaurant,,,,,,Haines Borough,,nine
20,book midday at a faraway  cuban place for five at a top-rated  bakery in Grainola,,faraway,Grainola,midday,,bakery,,top-rated,cuban,,,,,five
21,Book a bakery with smoking room for nine in Niger .,,,,,Niger,bakery,,,,,smoking room,,,nine
22,Book a restaurant for ten in OK .,,,,,,restaurant,,,,,,,OK,ten
23,Book the Gus Stevens Seafood Restaurant & Buccaneer Lounge in Papua New Guinea for one person.,,,,,Papua New Guinea,,Gus Stevens Seafood Restaurant & Buccaneer Lounge,,,,,,,one
24,book a Boon Brick Store for my grandkid and I at Evans Mills,,,Evans Mills,,,,Boon Brick Store,,,my grandkid and I,,,,
25,Book a pub with fisn'n chips in Timberville .,fisn'n chips,,Timberville,,,pub,,,,,,,,
