,text,year,playlist,music_item,sort,artist,service,genre,track,album
0,I need to hear the song  Aspro Mavro from Bill Szymczyk on Youtube,,,song,,Bill Szymczyk,Youtube,,Aspro Mavro,
1,play Yo Ho from the new york pops on Youtube,,,,,the new york pops,Youtube,,Yo Ho,
2,Play some seventies music by Janne Puurtinen on Youtube .,seventies,,,,Janne Puurtinen,Youtube,,,
3,play the MÃºsica Da SÃ©rie De Filmes O Hobbit  album by Alex Otaola,,,album,,Alex Otaola,,,,MÃºsica Da SÃ©rie De Filmes O Hobbit
4,Play Magic Sam from the thirties,thirties,,,,Magic Sam,,,,
5,Play The Soft Parade .,,,,,,,,The Soft Parade,
6,Play music by blowfly from the seventies,seventies,,,,blowfly,,,,
7,play Jeff Pilson on Youtube,,,,,Jeff Pilson,Youtube,,,
8,play a tune by Syreeta Wright from twenties from the top,twenties,,tune,top,Syreeta Wright,,,,
9,Please play me Jerry Lee Lewis 's If You Say So  track .,,,track,,Jerry Lee Lewis,,,If You Say So,
10,play the newest by Exuma,,,,newest,Exuma,,,,
11,Play the album  alas y raÃ­ces by Dave Pybus .,,,album,,Dave Pybus,,,,alas y raÃ­ces
12,play music by Helen Ward,,,,,Helen Ward,,,,
13,Play some sixties music.,sixties,,,,,,,,
14,Plan an album by Roni Duani .,,,album,,Roni Duani,,,,
15,I want to listen to Born On The Bayou on Iheart,,,,,,Iheart,,Born On The Bayou,
16,Play the best music by Arthur Johnston .,,,,best,Arthur Johnston,,,,
17,Play the song  gangsta ? by Siavash Ghomayshi,,,song,,Siavash Ghomayshi,,,gangsta,
18,Play Lukasz Gottwald  album on Zvooq,,,album,,Lukasz Gottwald,Zvooq,,,
19,Play me some music by Prince Alla from the twenties,twenties,,,,Prince Alla,,,,
20,Play the newest  2016  ep from Boaz Mauda .,2016,,ep,newest,Boaz Mauda,,,,
21,play Escapada,,Escapada,,,,,,,
22,"I'd like to hear music from 1951 , preferably a soundtrack .",1951,,soundtrack,,,,,,
23,Play 2003  Ben Burnley on Spotify,2003,,,,Ben Burnley,Spotify,,,
24,Play Marche Lorraine by Rachael Lampa,,,,,Rachael Lampa,,,Marche Lorraine,
25,Play some soul music,,,,,,,soul,,
26,Play Robin Hood Rescuing Three Squires by Bhupinder Singh,,,,,Bhupinder Singh,,,Robin Hood Rescuing Three Squires,
27,Play the top-5 songs from Paddy Reilly on zvooq,,,,top-5,Paddy Reilly,zvooq,,,
28,Open Groove Shark and play native us,,,,,,Groove Shark,native us,,
29,play chant by Prurient,,,chant,,Prurient,,,,
30,play Shake Your Head,,,,,,,,Shake Your Head,
31,Play Justin Broadrick 's music on Slacker .,,,,,Justin Broadrick,Slacker,,,
32,Play some 1954 songs on my Itunes .,1954,,,,,Itunes,,,
33,Play a 2011  ballad by Evil Jared Hasselhoff on Lastfm .,2011,,ballad,,Evil Jared Hasselhoff,Lastfm,,,
34,play laura love songs from 1959,1959,,,,laura love,,,,
35,Play Inside The Eye by twinkie clark,,,,,twinkie clark,,,,Inside The Eye
36,Play Goa music on Google Music .,,,,,,Google Music,Goa,,
37,Play The Way It Has To Be by Tom G Warrior on Zvooq,,,,,Tom G Warrior,Zvooq,,,The Way It Has To Be
38,Play some nineties  chant music from Nicoleta Nicola,nineties,,chant,,Nicoleta Nicola,,,,
39,"Play Alone, Again from Mike Viola",,,,,Mike Viola,,,,"Alone, Again"
40,open Spotify and play a couple of celtic songs,,,,,,Spotify,celtic,,
41,Play a concerto by Thekra .,,,concerto,,Thekra,,,,
42,play The Trail Of The Lonesome Pine on Netflix,,,,,,Netflix,,The Trail Of The Lonesome Pine,
43,Please play the newest music by Evil Jared Hasselhoff,,,,newest,Evil Jared Hasselhoff,,,,
44,Play NoctÃ¡mbulo pl,,NoctÃ¡mbulo,,,,,,,
45,Open up Lastfm and play some songs.,,,,,,Lastfm,,,
46,Can you play a top 5  song by Manos Hadjidakis,,,song,top 5,Manos Hadjidakis,,,,
47,Play sixties on Spotify,sixties,,,,,Spotify,,,
48,Play music by Antonella Barba from the album  Bath,,,album,,Antonella Barba,,,,Bath
49,Play melody music from the fourties .,fourties,,melody,,,,,,
50,Play some Katiejane Garside on Vimeo .,,,,,Katiejane Garside,Vimeo,,,
51,Play me a top-ten  song by Phil Ochs on Groove Shark,,,song,top-ten,Phil Ochs,Groove Shark,,,
52,Play Out From Under from Hurricane Chris,,,,,Hurricane Chris,,,Out From Under,
53,Play a sound track by Pee Wee Russell on Zvooq .,,,sound track,,Pee Wee Russell,Zvooq,,,
54,Play One Way Ticket by Ray Kennedy .,,,,,Ray Kennedy,,,One Way Ticket,
55,Play my entertaining playlist,,entertaining,,,,,,,
56,Will you pull up my Jueves de AntaÃ±o playlist,,Jueves de AntaÃ±o,,,,,,,
57,Play some eighties  movement music,eighties,,movement,,,,,,
58,Use Spotify to play me music,,,,,,Spotify,,,
59,use Deezer to play top five  Moya Brennan,,,,top five,Moya Brennan,Deezer,,,
60,I'd like to hear Nas 's greatest  ballad,,,ballad,greatest,Nas,,,,
61,Open Netflix and find a movie with the song  heartful,,heartful,song,,,Netflix,,,
62,PLay some fourties music from Erin Harkes,fourties,,,,Erin Harkes,,,,
63,Play dhafer youssef  top-twenty on netflix,,,,top-twenty,dhafer youssef,netflix,,,
64,I'd like to play the top ten  Mickdeth on Google Music,,,,top ten,Mickdeth,Google Music,,,
65,play music by Don Reno,,,,,Don Reno,,,,
66,Play some Last Fm music like the 1992  ep from Peaches,1992,,ep,,Peaches,Last Fm,,,
67,Play some indie music on spotify .,,,,,,spotify,indie,,
68,Play a cohesive playlist for me,,cohesive,,,,,,,
69,Play 1966  theme music on Slacker .,1966,,theme,,,Slacker,,,
