,text,best_rating,rating_unit,object_select,rating_value,object_part_of_series_type,object_name,object_type
0,rate The Lotus and the Storm  zero of 6 ,6,,,zero,,The Lotus and the Storm,
1,Rate The Fall-Down Artist  5  stars .,,stars,,5,,The Fall-Down Artist,
2,Rate the current  novel  one  points,,points,current,one,,,novel
3,rate The Ape-Man Within  4,,,,4,,The Ape-Man Within,
4,I give The Penalty  three  stars,,stars,,three,,The Penalty,
5,rate this  novel a 4 ,,,this,4,,,novel
6,"give 5 out of 6  points to Absolutely, Positively Not  series",6,points,,5,series,"Absolutely, Positively Not",
7,"I give Emile, or On Education  five  points .",,points,,five,,"Emile, or On Education",
8,rate Licence Renewed a 4,,,,4,,Licence Renewed,
9,Give this  essay a 2 out of 6 .,6,,this,2,,,essay
10,A rating of 5 of 6  points goes to Dickson McCunn trilogy,6,points,,5,,Dickson McCunn trilogy,
11,rate Beyond the Shadows  3 of 6  stars,6,stars,,3,,Beyond the Shadows,
12,Give 2 out of 6  points to the following  textbook .,6,points,following,2,,,textbook
13,the previous  textbook is a 3,,,previous,3,,,textbook
14,Rate this  album  zero of 6 ,6,,this,zero,,,album
15,rate in stars as a 6 for Lord of the Shadows which gets a four,6,stars,,four,,Lord of the Shadows,
16,"Rate Small Screen, Big Picture a 0 out of 6 .",6,,,0,,"Small Screen, Big Picture",
17,give 0  stars to this  textbook,,stars,this,0,,,textbook
18,Rate the current  novel a 0 out of 6  points,6,points,current,0,,,novel
19,give this  book a rating of 3 ,,,this,3,,,book
20,Rate the Tropic of Cancer  book a 2 out of 6,6,,,2,,Tropic of Cancer,book
21,I would give this current  textbook  five  points or a rating of 6,6,points,current,five,,,textbook
22,give The Judas Tree a zero,,,,zero,,The Judas Tree,
23,I am rating this book titled The Billion Dollar Ransom  3  stars .,,stars,,3,,The Billion Dollar Ransom,book
24,I would give Sixty Lights  chronicle a rating of five and a best rating of 6,6,,,five,chronicle,Sixty Lights,
25,rate this book titled Cold  two  stars,,stars,,two,,Cold,book
26,I want to rate this current  series a value of five and a best rating of 6,6,,current,five,series,,
27,Rate the current  book a zero of 6,6,,current,zero,,,book
28,Rate this  novel  1 of 6,6,,this,1,,,novel
29,I would rate this  chronicle  4  stars,,stars,this,4,chronicle,,
30,Give A Human Being Died That Night  3  stars ,,stars,,3,,A Human Being Died That Night,
31,I'm rating The Skystone with three  points,,points,,three,,The Skystone,
32,rate this current  saga  3 out of 6  points,6,points,current,3,saga,,
33,Rate the Wild Boy  series  3 out of 6  stars,6,stars,,3,series,Wild Boy,
34,Rate this  album a one .,,,this,one,,,album
35,Rate the Glory Season  three  stars,,stars,,three,,Glory Season,
36,Give this  textbook  5  points,,points,this,5,,,textbook
37,give two  stars to current  album,,stars,current,two,,,album
38,Rate the current  saga a five,,,current,five,saga,,
39,give 0 rating to She and Allan  book,,,,0,,She and Allan,book
40,Rate the current  series a one,,,current,one,series,,
41,I want to give this  album  3  points,,points,this,3,,,album
42,rate The Cry of the Owl a four,,,,four,,The Cry of the Owl,
43,A novel of this quality deserves your rating of four  points,,points,this,four,,your,novel
44,I gave Joseph Andrews a 0 out of 6,6,,,0,,Joseph Andrews,
45,Give zero / 6  stars to the current  album,6,stars,current,zero,,,album
46,I want to give this  album  zero out of 6  stars,6,stars,this,zero,,,album
47,Swine Not ? deserves four  points,,points,,four,,Swine Not,
48,I rate Naked in Death a 5,,,,5,,Naked in Death,
49,give the current  series  3  points,,points,current,3,series,,
50,the next  album is only one  stars,,stars,next,one,,,album
51,Rate this  book  three  points,,points,this,three,,,book
52,rate this  novel a 3 ,,,this,3,,,novel
53,Rate The Keys to the White House a zero,,,,zero,,The Keys to the White House,
54,Rate An Act of Terror  2  stars .,,stars,,2,,An Act of Terror,
55,I'm rating The Skystone with three  points,,points,,three,,The Skystone,
56,rate Call for the Saint  1 out 6  points,6,points,,1,,Call for the Saint,
57,Rate Merlin Effect a 0 ,,,,0,,Merlin Effect,
58,Give this  album  three out of 6  points,6,points,this,three,,,album
59,The Last Hawk gets a total of 3 out of 6  stars from me,6,stars,,3,,The Last Hawk,
60,0  stars for this  textbook ,,stars,this,0,,,textbook
61,Rate the current  series a one .,,,current,one,series,,
62,I rate American History: A Survey a 5 ,,,,5,,American History: A Survey,
63,Give this current  novel a 4 .,,,current,4,,,novel
64,give this current  novel a three,,,current,three,,,novel
65,the stars for this are 4 for a textbook,,stars,this,4,,,textbook
66,rate the current  chronicle  book  three  points,,points,current,three,chronicle,,book
67,rate The Bunce  1  stars,,stars,,1,,The Bunce,
68,give this  textbook a rating of 3,,,this,3,,,textbook
69,"Another Girl, Another Planet gets only one of a possiable 6 rating",6,,,one,,"Another Girl, Another Planet",
70,Rate this  textbook  2 of 6  stars,6,stars,this,2,,,textbook
71,I give The Spirit of St. Louis a 1,,,,1,,The Spirit of St. Louis,
72,Rate the book  Post Office  four  points,,points,,four,,Post Office,book
73,give 5 rating for this  textbook,,,this,5,,,textbook
74,I give this next  essay  zero out of 6  points,6,points,next,zero,,,essay
75,Rate the current  novel  3 of 6  stars,6,stars,current,3,,,novel
76,Rate The Watsons  four of 6  stars,6,stars,,four,,The Watsons,
77,this  novel should get zero  points for how intrepid it is.,,points,this,zero,,how,novel
78,"I didn't like the book  Nobody Lives For Ever , I give it a 2 .",,,,2,,Nobody Lives For Ever,book
79,rate this current  book album  four  stars,,stars,current,four,,,book album
80,Give the current  novel  5  points,,points,current,5,,,novel
81,give Death on the Nile a three,,,,three,,Death on the Nile,
82,Rate The Gorilla Hunters  0  stars,,stars,,0,,The Gorilla Hunters,
83,Rate this current  essay  three out of 6  stars,6,stars,current,three,,,essay
84,this is rated 5 out of 6 for an essay,6,,this,5,,,essay
85,rate the current  album  one  points,,points,current,one,,,album
86,I give a zero rating for this  essay,,,this,zero,,,essay
87,Rate this  book a zero,,,this,zero,,,book
88,Rate the current  album  3 of 6  stars,6,stars,current,3,,,album
89,Rate The Secret of Dr. Honigberger  2  points out of 6,6,points,,2,,The Secret of Dr. Honigberger,
90,Rate this  chronicle  three of 6  stars,6,stars,this,three,chronicle,,
91,"I rate the chronicle , Son of the Tree with four of 6  points .",6,points,,four,chronicle,Son of the Tree,
92,This current  album deserve 0  points and a best rating of 6,6,points,current,0,,,album
93,I rate The Variation of Animals and Plants under Domestication a value of 0,,,,0,,The Variation of Animals and Plants under Domestication,
94,Rate this  textbook a zero,,,this,zero,,,textbook
95,The current  textbook Gets 3  stars,,stars,current,3,,,textbook
96,Rate The Stars Shine Down  5 ,,,,5,,The Stars Shine Down,
97,Give one / 6  points to Who Will Cry When You Die,6,points,,one,,Who Will Cry When You Die,
98,I think this  essay should be given four  points and a best rating of 6,6,points,this,four,,,essay
99,For this current  saga I give 5 out of 6 possiable points ,6,points,current,5,saga,,
100,I give The Lacuna a rating of 5  stars under the chronicle rated at 6,6,stars,,5,chronicle,The Lacuna,
101,give zero point to this  textbook,,,this,zero,,,textbook
102,I give the current  book  two out of 6,6,,current,two,,,book
103,rate this  album book  zero out of 6  points,6,points,this,zero,,,album book
104,I am rating this  book  5 out 6  points,6,points,this,5,,,book
105,rate If Tomorrow Comes  2 of 6  stars,6,stars,,2,,If Tomorrow Comes,
